@RELATION all_data_pacman

@ATTRIBUTE legal_actions_west {0, 1}
@ATTRIBUTE legal_actions_stop {0, 1}
@ATTRIBUTE legal_actions_east {0, 1}
@ATTRIBUTE legal_actions_north {0, 1}
@ATTRIBUTE legal_actions_south {0, 1}
@ATTRIBUTE ghost_distance NUMERIC
@ATTRIBUTE score NUMERIC
@ATTRIBUTE pacman_direction {West,Stop,East,North,South}
@ATTRIBUTE ghost_distanceNext NUMERIC
@ATTRIBUTE scoreNext NUMERIC

@DATA
1,1,1,0,1,8,-19,East,8,80
1,1,1,0,1,8,80,East,6,179
1,1,1,0,1,6,179,East,4,178
1,1,1,1,1,4,178,South,6,177
1,1,1,1,1,6,177,South,6,276
1,1,1,1,1,6,276,South,6,275
1,1,1,1,1,6,275,South,4,274
1,1,1,1,1,4,274,East,2,373
1,1,1,1,1,2,373,East,5,672
1,1,1,1,1,5,672,East,5,771
1,1,1,1,1,5,771,East,5,770
1,1,1,1,1,5,770,East,6,769
1,1,1,1,1,6,769,South,4,868
1,1,1,1,1,4,868,West,5,867
1,1,1,1,1,5,867,West,5,866
1,1,1,1,1,5,866,North,5,865
1,1,1,1,1,5,865,North,3,964
1,1,1,1,1,3,964,North,3,1063
1,1,1,1,1,3,1063,North,2,1062
1,1,1,0,1,2,1062,North,8,1261
1,1,1,0,1,8,1261,East,8,1260
1,1,1,0,1,8,1260,East,7,1259
1,1,1,0,1,7,1259,East,5,1258
1,1,1,0,1,5,1258,East,3,1257
1,1,1,0,1,3,1257,East,1,1356
1,1,1,0,1,1,1356,East,3,1455
1,1,1,0,1,3,1455,East,3,1454
1,1,1,0,1,3,1454,East,4,1453
1,1,1,1,1,4,1453,South,2,1452
1,1,1,1,1,2,1452,West,2,1551
1,1,1,1,1,2,1551,West,2,1650
1,1,1,1,1,2,1650,West,4,1749
1,1,1,1,1,4,1749,West,4,1748
1,1,1,1,1,4,1748,West,3,1747
1,1,1,0,1,3,1747,North,3,1746
1,1,1,0,1,3,1746,East,1,1745
1,1,1,0,1,1,1745,East,13,1944
1,1,1,0,1,13,1944,East,11,1943
1,1,1,1,1,11,1943,South,12,1942
1,1,1,1,1,12,1942,West,13,1941
1,1,1,1,1,13,1941,West,15,1940
1,1,1,1,1,15,1940,West,17,1939
1,1,1,1,1,17,1939,West,17,1938
1,1,1,1,1,17,1938,East,16,1937
1,1,1,1,1,16,1937,South,15,2036
1,1,1,1,1,15,2036,East,14,2135
1,1,1,1,1,14,2135,East,12,2234
1,1,1,1,1,12,2234,East,11,2233
1,1,1,1,1,11,2233,East,9,2232
1,1,1,1,1,9,2232,East,9,2331
1,1,1,1,1,9,2331,South,9,2330
1,1,1,1,1,9,2330,South,7,2329
1,1,1,1,1,7,2329,South,6,2428
1,1,1,1,1,6,2428,South,4,2427
1,1,1,1,1,4,2427,South,4,2426
1,1,1,1,1,4,2426,South,4,2525
1,1,1,1,1,4,2525,East,2,2624
1,1,1,1,1,2,2624,East,9999,2923
0,1,0,0,0,9999,2923,East,11,-1
1,1,1,1,1,11,-1,South,11,-2
1,1,1,1,1,11,-2,South,10,-3
1,1,1,1,1,10,-3,South,8,-4
1,1,1,1,1,8,-4,South,7,-5
1,1,1,1,1,7,-5,South,7,-6
1,1,1,1,1,7,-6,South,7,-7
1,1,1,1,1,7,-7,South,5,-8
1,1,1,1,1,5,-8,South,5,-9
1,1,1,1,0,5,-9,South,5,-10
1,1,1,1,0,5,-10,East,4,-11
1,1,1,1,0,4,-11,East,2,88
1,1,1,1,0,2,88,East,1,187
1,1,1,1,0,1,187,East,1,186
1,1,1,1,1,1,186,North,1,185
1,1,1,1,1,1,185,North,1,284
1,1,1,1,1,1,284,North,1,283
1,1,1,1,1,1,283,North,1,282
1,1,1,1,1,1,282,East,1,581
1,1,1,1,1,1,581,East,1,680
1,1,1,1,1,1,680,North,8,979
1,1,1,1,1,8,979,East,6,978
1,1,1,1,1,6,978,North,5,977
1,1,1,1,1,5,977,East,5,1076
1,1,1,1,1,5,1076,South,5,1075
1,1,1,1,1,5,1075,North,3,1074
1,1,1,1,1,3,1074,East,2,1073
1,1,1,1,1,2,1073,East,1,1072
1,1,1,1,1,1,1072,East,1,1171
1,1,1,1,1,1,1171,North,11,1370
1,1,1,1,1,11,1370,South,10,1469
1,1,1,1,1,10,1469,South,8,1568
1,1,1,1,1,8,1568,South,6,1567
1,1,1,1,1,6,1567,South,6,1666
1,1,1,1,1,6,1666,South,4,1765
1,1,1,1,1,4,1765,South,2,1864
1,1,1,1,1,2,1864,East,9999,2163
